Date Time Diftime[microsec] /quatW quatX quatY quatZ /accelX accelY accelZ /gyroX gyroY gyroZ /eulerX eulerY eulerZ /heading
 11.1002 10.9266 128.662 231.338
2018-Nov-26 11:29:15.639027 1613 0.439173 0.0583768 0.0829422 0.892659 0.0455933 0.205017 0.915588 24.7803 -7.38525 9.52148 11.4991 -1.83444 127.792 232.208
2018-Nov-26 11:29:15.640972 1945 0.438593 0.0590218 0.0839159 0.89281 0.0411987 0.197754 0.886658 24.4141 -1.89209 13.3057 11.6314 -1.85939 127.864 232.136
2018-Nov-26 11:29:15.641143 171 0.43787 0.0594193 0.0849162 0.893045 0.0414429 0.182434 0.857849 23.4985 3.78418 16.5405 11.7536 -1.85924 127.953 232.047
2018-Nov-26 11:29:15.641520 377 0.437035 0.0596644 0.0858622 0.893347 0.0513306 0.187378 0.829529 20.752 7.50732 19.165 11.8623 -1.8476 128.055 231.945
2018-Nov-26 11:29:15.641797 277 0.436128 0.0599316 0.0866625 0.893695 0.0593872 0.211182 0.808899 15.7471 6.89697 21.1792 11.9569 -1.84686 128.168 231.832
2018-Nov-26 11:29:15.642865 1068 0.435173 0.0602905 0.0871788 0.894086 0.0765991 0.220276 0.796265 9.0332 3.90625 22.9492 12.0265 -1.87109 128.291 231.709
2018-Nov-26 11:29:15.644684 1819 0.434204 0.060595 0.087352 0.894519 0.083252 0.223267 0.794312 0.671387 2.86865 23.8037 12.0577 -1.90738 128.417 231.583
2018-Nov-26 11:29:15.646364 1680 0.433263 0.0606454 0.0872076 0.894986 0.0861206 0.224487 0.814148 -8.36182 5.31006 23.4375 12.0432 -1.93286 128.541 231.459
2018-Nov-26 11:29:15.651754 5390 0.432394 0.0604047 0.0867171 0.89547 0.074707 0.214844 0.838745 -17.4561 6.89697 22.1558 11.9784 -1.94431 128.655 231.345
2018-Nov-26 11:29:15.656804 5050 0.431617 0.0600293 0.0858588 0.895953 0.0615234 0.211731 0.884949 -25.1465 4.27246 20.752 11.8687 -1.95882 128.76 231.24
2018-Nov-26 11:29:15.663239 6435 0.430932 0.0596246 0.0846638 0.896423 0.0456543 0.205383 0.929321 -31.189 -0.549316 19.4702 11.7228 -1.98581 128.854 231.146
2018-Nov-26 11:29:15.666517 3278 0.430297 0.0591989 0.0832371 0.89689 0.0320435 0.211975 0.979065 -35.6445 -4.39453 19.043 11.5519 -2.0213 128.944 231.056
2018-Nov-26 11:29:15.671141 4624 0.429683 0.0586999 0.0817097 0.897357 0.0154419 0.206421 1.01923 -37.7808 -5.92041 18.9819 11.3669 -2.05356 129.031 230.969
2018-Nov-26 11:29:15.676921 5780 0.429048 0.0580364 0.0802313 0.897838 0.00140381 0.195923 1.05774 -36.9873 -3.90625 19.4702 11.1787 -2.0661 129.119 230.881
2018-Nov-26 11:29:15.681131 4210 0.428399 0.0571368 0.0788697 0.898326 -0.0122681 0.162537 1.08875 -33.8135 0.427246 19.4092 10.9911 -2.0479 129.205 230.795
2018-Nov-26 11:29:15.688193 7062 0.427776 0.0562426 0.0776951 0.898781 -0.0290527 0.166443 1.10657 -28.6255 0.244141 18.5547 10.8233 -2.02036 129.287 230.713
2018-Nov-26 11:29:15.691044 2851 0.427165 0.0556926 0.0767141 0.899191 -0.0333862 0.174194 1.11371 -22.0337 -6.10352 18.4326 10.6927 -2.01889 129.368 230.632
2018-Nov-26 11:29:15.696404 5360 0.426514 0.0555249 0.0759299 0.899576 -0.0350952 0.183411 1.10986 -15.3198 -12.3901 19.5312 10.6013 -2.04803 129.456 230.544
2018-Nov-26 11:29:15.701634 5230 0.425802 0.0554951 0.0754034 0.89996 -0.0354614 0.188599 1.09894 -9.64355 -12.7563 20.752 10.5434 -2.07947 129.551 230.449
2018-Nov-26 11:29:15.706499 4865 0.425037 0.0554279 0.0751838 0.900344 -0.0432739 0.20282 1.0907 -5.06592 -9.46045 21.5454 10.5154 -2.09232 129.65 230.35
2018-Nov-26 11:29:15.713147 6648 0.42424 0.0553627 0.0751763 0.900724 -0.0501709 0.204407 1.08331 -1.52588 -8.17871 22.0947 10.5096 -2.09525 129.752 230.248
2018-Nov-26 11:29:15.716446 3299 0.42338 0.0554124 0.0752591 0.901119 -0.053772 0.201965 1.07074 1.34277 -10.0098 23.7427 10.5187 -2.10652 129.862 230.138
2018-Nov-26 11:29:15.720993 4547 0.42242 0.0555377 0.0754457 0.901546 -0.0482788 0.205994 1.06317 3.96729 -10.1318 26.062 10.542 -2.12186 129.985 230.015
2018-Nov-26 11:29:15.726965 5972 0.42131 0.0555707 0.0758155 0.902032 -0.0402832 0.205444 1.04974 6.65283 -5.31006 29.2358 10.5796 -2.12033 130.125 229.875
2018-Nov-26 11:29:15.731002 4037 0.419994 0.0553654 0.076437 0.902606 -0.0334473 0.20282 1.03754 9.82666 3.41797 33.4473 10.6315 -2.08398 130.288 229.712
2018-Nov-26 11:29:15.738427 7425 0.418461 0.0548151 0.07731 0.903277 -0.020813 0.185486 1.01807 12.8784 14.8926 37.6587 10.6926 -2.00177 130.474 229.526
2018-Nov-26 11:29:15.740983 2556 0.416731 0.0539964 0.0783734 0.904034 -0.0078125 0.175232 0.988647 15.3198 24.4751 41.5039 10.7607 -1.88458 130.681 229.319
2018-Nov-26 11:29:15.746745 5762 0.414848 0.0532193 0.0795297 0.904845 0.0146484 0.180786 0.958862 17.395 27.2827 44.6777 10.8407 -1.76935 130.907 229.093
2018-Nov-26 11:29:15.751671 4926 0.412916 0.0526459 0.0806369 0.905663 0.0348511 0.190308 0.939331 17.0898 25.3296 45.7764 10.9257 -1.67885 131.142 228.858
2018-Nov-26 11:29:15.756436 4765 0.411038 0.0523277 0.0815859 0.906451 0.0427246 0.198792 0.918091 15.0146 20.0195 44.7998 11.0067 -1.6226 131.372 228.628
2018-Nov-26 11:29:15.763180 6744 0.409287 0.0523578 0.0822364 0.907183 0.0456543 0.199951 0.915588 11.5356 10.2539 42.5415 11.0733 -1.61623 131.59 228.41
